# Synthesized Time Series | Mean = 155.31; Std = 223.70
Index,Value
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,28.06
10,84.71
11,162.19
12,230.56
13,290.49
14,328.47
15,256.94
16,148.40
17,41.08
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,32.35
34,116.56
35,170.48
36,258.08
37,252.01
38,248.29
39,191.43
40,128.41
41,28.84
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,0.00
56,0.00
57,27.48
58,135.78
59,307.10
60,319.01
61,305.55
62,286.44
63,234.76
64,133.28
65,34.19
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,0.00
81,54.80
82,189.14
83,287.90
84,341.95
85,389.08
86,281.21
87,240.91
88,128.61
89,44.86
90,0.00
91,0.00
92,0.00
93,0.00
94,0.00
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
100,0.00
101,0.00
102,0.00
103,0.00
104,0.00
105,52.65
106,199.20
107,306.46
108,342.86
109,374.54
110,384.25
111,301.65
112,193.66
113,49.99
114,0.00
115,0.00
116,0.00
117,0.00
118,0.00
119,0.00
120,0.00
121,0.00
122,0.00
123,0.00
124,0.00
125,0.00
126,0.00
127,0.00
128,0.00
129,49.44
130,174.33
131,259.19
132,344.46
133,347.75
134,342.16
135,277.55
136,182.73
137,58.62
138,0.00
139,0.00
140,0.00
141,0.00
142,0.00
143,0.00
144,0.00
145,0.00
146,0.00
147,0.00
148,0.00
149,0.00
150,0.00
151,0.00
152,0.00
153,58.07
154,197.35
155,313.90
156,350.33
157,396.24
158,369.60
159,304.28
160,200.36
161,58.23
162,0.00
163,0.00
164,0.00
165,0.00
166,0.00
167,0.00
168,0.00
169,0.00
170,0.00
171,0.00
172,0.00
173,0.00
